id,stratum,stratum_size,v1_tags,v2_tags,v2_matches,label,text
DM-001297,v1_only,400,분노·불신,,,분노·불신,레버리지 규제가 아니라 공매도 금지를 해라..!!! 답답하네
DM-004973,both,180,FOMO·상대적박탈감,FOMO·상대적박탈감,FOMO·상대적박탈감:부럽,FOMO·상대적박탈감,부럽다 하나만 사도되서
DM-004386,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,나라에 도둑놈들이 너무 많다
DM-003154,v2_only,80,,분노·불신,분노·불신:새끼,분노·불신,잡주판에서 제일 멍청한 새끼 ㅇㅇ
DM-003172,v2_only,80,,분노·불신,분노·불신:장난치,분노·불신,아다 저건 누가 장난치는거야?
DM-000919,neither,3279,,,,분노·불신,곽똥신아 주주홧병 주주 환원  하라
DM-004248,v2_only,80,,FOMO·상대적박탈감,FOMO·상대적박탈감:다 벌,분노·불신,"담합이익보다 벌금이 약하니, 사실상 벌금이 아닌 세금수준.. 소득이 확실하니 세금같은 벌금이 무서울리가.. 범죄자는 벌금도 천문학적으로 나오고 실형도 때리고, 사주도 실형가능해야 안하지 에휴"
DM-002031,v1_only,400,불안·공포,,,분노·불신,"예정된 수순이다. 폭락한다고 했짠니.  고고싱 하락... -20% ​ 이 회사는 아닌듯 하다. 삼디나 엔솔이 맞다. ​ 여긴 진짜 망필인 회사인듯 하다 ​ 다 구리고, 주주들 뒤통수 치고.."
DM-001182,both,180,분노·불신,분노·불신,분노·불신:짜증,분노·불신,상한가만 20년 형 왔다. 날씨도 더운데 하닉도 짜증나는구나 오르는 꼴을 못 보는구나 오르면 계속 하락이구나 하이닉스도 개잡주가 되어버렸구나
DM-003956,v1_only,400,분노·불신,,,NONE,대한민국만 반도체 만들면 호황이다  하지만 다른 국가도 만들고 있다는 것 결국 경쟁이고 언젠간 거품이 빠지는 것이 반도체
DM-001420,v2_only,80,,분노·불신,분노·불신:선동,분노·불신,얼마나 무식하면 이런소리를할까. ㅋㅋㅋㅋㅋ소득주도성장 쉐쉐. 곰팡이백신부작용인가. 탈원전하면 반도체공장은뭘로돌릴건데?데이터센터는뭘로돌려? 화력발전소풍력? 집에 에어컨은틀수있음? 전기세부터 몇백나올듯? 사회주의국가에서나 탈원전선동했지. 말은바로해라 좀 ㅉㅉ
DM-001197,v1_only,400,불안·공포,,,분노·불신,밑에넘 개딸이구나~  길에서 조심해라! 걸리면 주둥이 찢는다
DM-001770,both,180,후회·손실고통,후회·손실고통,후회·손실고통:물렸,NONE,24에 처 물렸노ㅋ
DM-001019,v2_only,80,,분노·불신,분노·불신:놈들,NONE,형인데. 코스닥장이야 당분간 순환매 들어가자너 마지막을 향해 가는중이야. 코즈닥 금방 죽을건데. 그때부터 빙하기 시작이야... 기관이 돈빼서 고스닥가서 한탕 또 해처먹어야하자너.. 그담은... 그놈들도 미장간다. 반등줘서 빨간불보면 줄때먹어라. 줄먹장이다
DM-001024,neither,3279,,,,NONE,개송이들이 기술가지고 취업하겠지.
DM-004024,both,180,후회·손실고통|충동·중독시그널,후회·손실고통|충동·중독시그널,후회·손실고통:물렸|충동·중독시그널:몰빵,NONE,몰빵이고 나발이고 이미 반도체만 남았다고 하면서 사람들 거의 반도체에 들어와 물렸을텐데 균형 잡을 돈이 있나 모르겠네.
DM-001637,v2_only,80,,충동·중독시그널,충동·중독시그널:미수,충동·중독시그널,어쩌긴 뭘 어쩌..  나처럼 풀미수베팅 하는 사람은 그거이 신경 쓰여 ㅋㅋㅋㅋㅋㅋ
DM-004434,v2_only,80,,분노·불신,분노·불신:해먹,NONE,@로오댕  ㅋㅋㅋ 이제까지 정유사들이 실컷 해먹다가 이제와서 잡은건데 지금 현 국회의원 욕을 하는게 말이됨? 이제라도 잡았으면 잘한거아니야?
DM-001413,neither,3279,,,,분노·불신,실체도 없는 레인이는 46만원인데 우리 현대차는 왜 이러실까?
DM-003693,v1_only,400,분노·불신,,,NONE,개미가 하도 던져서 지들이 사도 잘 안오르는 분위기 아님? 물량 확보 할때 까지는 계속 절망감 주면서 조용히 물량만 모을거 같은데
DM-001392,both,180,FOMO·상대적박탈감,FOMO·상대적박탈감,FOMO·상대적박탈감:포모,분노·불신,"포모에 주가에 미친건 투기!! 건전한 비판좋죠! 근데.. 이건뭐.. 우리나라가 망한다.. 회사가 망한다느니.. 여기분들은 반평생 코스피5천, 6천넘는거 보셨나요? 왤케 호들갑인지.. 투자를 하랬지..포모에 투기를하랬나요? 이럴꺼면 장투교 가입해서 예배나하는게 정신에좋음."
DM-003873,neither,3279,,,,NONE,홀짝 쇼 여유있는 사람이야 괜찮겠지만.. 중요한 돈 넣은 사람은 어떡하냐?
DM-003999,both,180,후회·손실고통,후회·손실고통,후회·손실고통:반토막 났,후회·손실고통,증권주 반토막 났어요😢
DM-002266,both,180,FOMO·상대적박탈감,FOMO·상대적박탈감,FOMO·상대적박탈감:지금이라도 사,NONE,"이번주 420000원 박스권 상단,(권리락 후 323000원) 넘는다... 쫑알 되지말고.. 살거면 지금이라도 사라...연초 2건 LO가 42만우너 선이다. 이번 새로운  LO는 이것보다 더 가야하지 않겠니?? 머크 큐렉스 전환율과 매출이 급격하게 증가하고 있는 데,... 특허이슈 긑나가고 있고,.. SC제형 누구나 할 수 있는 것 아니다.. 찌라시에 속지마라.."
DM-001765,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,이놈들은 실적잘나오면 기대감과 미래성장 얘기하고 기대감얘기하면 또 실적얘기하고있네 안티 니들끼리 합의좀보고와라
DM-003552,v2_only,80,,분노·불신,분노·불신:놈들,NONE,똥색 양말 놈들 존나 웃기네
DM-002050,v2_only,80,,분노·불신,분노·불신:해먹,분노·불신,실적이 이따구에 유증?? 것도 대규모로 유증을 감행한거냐 회사로 한탕 해먹으려고 작정했네 이동채는 회사 매각시키고 물러나라 어차피 승계는 어려워보인다 그리고 주가 누르기 벌금이나 맞을 생각해라
DM-000082,neither,3279,,,,NONE,국가가 주가에 개입한순간
DM-004806,neither,3279,,,,분노·불신,중국에게 주려고 만드는거지ㅋ
DM-003782,neither,3279,,,,NONE,기업이 자사주를 많이 사던가 주주들을 챙겨줘서 코스피를 하는 이유를 만들어 내던가 해야될듯
DM-003950,v2_only,80,,분노·불신,분노·불신:한심,분노·불신,잘 맞추지도 못하면서 올라간다고 뭘그리 확신하나....정말 한심하네.
DM-002405,both,180,후회·손실고통,후회·손실고통,후회·손실고통:물린 분,NONE,"여러분 제발~~~!! 20만원 중반 이상 물린 분들은 어쩔 수 없지만...신규 진입이나 애매한 분들은 제발 단타 치세요! ​ 반도체가 조정 받았다 해도 그동안 너무 올랐기에 쉽게 가지 못해요...지금처럼 변동성도 크고 널뛰기 할때는 욕심을 버리시고 단타치면서 수익을 올리는 것도 하나의 방법입니다! ​ 약 2주간 한미에서 천만원으로 3백만원 수익 보고 있는데, 분단위까진 아니지만 적당히 내리면 사고 적당히 오르면 파는게 수익이 좋아요ㅋ ​ 제가 글 올리면 누군 푼돈 벌어 머하냐고 조롱 열라 하지만 2주전 첫 진입 금액이 22만원인데 지금까지 뒀으면 3백 수익은 커녕 -10%로 백만원 손해입니다ㅋ ​ 다들 홧팅입니다ㅋ"
DM-000565,v1_only,400,분노·불신,,,NONE,진짜 팔아주는 개미들 너무감사하다
DM-004479,neither,3279,,,,NONE,​ @ohwilliam8517 지방도 조금만 도심으로 가면 6억 시작임
DM-001492,both,180,FOMO·상대적박탈감|분노·불신,FOMO·상대적박탈감,FOMO·상대적박탈감:지금이라도 늦지,NONE,개미형님들 어제 제가 개카오버리고 네이버사라고 글 2개나올렸는데 왜 제말을 무시하시고 욕하시고 그럽니까?? ​ 지금이라도 늦지 않았습니다. 주주들 개 똥으로보는 카카오는 빨리 버려야 상책입니다. ​ 카카오는 일하는 직원들 수준이 네이버 엔씨 못가는  폐급들만 모여서 더 커지기 힘듭니다. ​ 일하는사람이 폐급만있는데 기업이 어떻게 성장합니까?
DM-001227,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:전재산,충동·중독시그널,쫌만 더 내리면되는게 그걸 못참고 올려버리네 전재산 박았다 가보즈아
DM-000665,v1_only,400,분노·불신,,,NONE,매출 실적도 없는 거품
DM-001483,both,180,후회·손실고통,후회·손실고통,후회·손실고통:물려있,NONE,현대차 사서 지금 물려있는 개인들은  주식 접고 적금드는것이 남은 재산 지키는 길임 주식에 조금이라도 감각있는 사람들은 60만원대로 떨어질때 다 팔고 떠났음 지금 현대차에 물려있는 사람들은 주식에 대한 감각이 전혀 없는 사람들임 현대차 물린 님들은 주식 할수록 돈이 사라질거임 본전생각으로 주식을 계속 할 경우 그나마 남은 돈도 점점 줄어들것임 ​
DM-002342,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:지르고,분노·불신,옆집 짱꿰 이사왔는데 담배피고 밤늦게 까지 소리지르고 ㅈ겠음 ㅠㅠ 1찍들아 제발 무비자 좀 없애주라 ㅠㅠ
DM-002326,v2_only,80,,FOMO·상대적박탈감,FOMO·상대적박탈감:나빼고,분노·불신,"한미 하여간 여기도  남탓깨나 해되는 인간들,집합소가맞네.  니가남돈낼름먹어보겠다고 니손가락으로눌러투자햐놓고선 이제와서 와 니탓 너탓 나빼고 모두의탓으로 돌리는데~~뭐가빠져도 많이빠졌나벼.^!^^!^^!^~~"""
DM-003814,v1_only,400,불안·공포,,,NONE,폭락했다 말아올렸다하락중  허구헌날 하락중 수급도  바닥이라고
DM-000563,v1_only,400,분노·불신,,,NONE,오늘 개미 70만주 이상 털리것네
DM-002939,v2_only,80,,충동·중독시그널,충동·중독시그널:미수,충동·중독시그널|분노·불신,아시발 하닉 상에 2억 미수 갈겻는데 머냐
DM-002249,neither,3279,,,,NONE,오늘.. VI 두번정도 구경하면 좋겠네요^*^ 오늘보다는 내일이 더 기대되는 날!!!
DM-001236,v1_only,400,분노·불신,,,NONE,7월8일부터 19거래일 횡보네 공매도들도 지치겠다 슬슬 숏커버 하지 숏커버 누가 먼저 하냐 눈치싸움 안하나...
DM-001802,both,180,분노·불신,분노·불신,분노·불신:사기,분노·불신,지수가 이틀간 8프로 올랐는데  지수 반도 못 따라 붙는거보면 여기는 답 없음 ㅋㅋㅋㅋㅋ 매물은 14층이 수두룩한데 12층도 못감 ㅋㅋㅋㅋㅋㅋ 동채의 사기라는걸 모두가 아는거지
DM-001542,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:지르고,NONE,이제4층으로 이사좀가야할덴데 저는 아직도 카카오캐슬3층에서 산지  오래됬는데요  층간소음도많고 ㅜㅜ 옆집 아저씨는 파업한다  데모한다 하면서  고함을지르고 낮ㆍ밤가리지않고 ㅜㅜ 그분성함이 범수아저씨  고성방가고고소가들어가 지금재판중입니다 이제 다 잊고 4층으로 이사를가야하는데 ㅜㅜ 이사비용도없고 으흐흐 공기좋은 15층으로 갈수나있을런지  꿈을꿔보는  아주 평범한 가장입니다  20평 방2개 3층에서는그만살고싶습니다 4층은 방3개에 화장실도2개라고하던데 언젠가는 꼭4층으로 이사를가야할덴데 ㅜㅜ 모든분들도17층 고층아파트로 이사하는그날까지 카카오캔슬에서 사이좋게 살아보자구요
DM-004642,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:몰빵,NONE,90년대 말 인터넷 몰빵 했던것처럼 이번에도 잘 되어서 후손들이 먹고 살 길이 열리길
DM-001857,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:몰빵,NONE,dog잡주 dog폭등중 ㅋㅋㅋㅋ 역시 비엠 ㅋㅋㅋㅋ ​ 실적3분기도 어닝 쇼크 예정 ㅋㅋㅋㅋ ​ 어여사라  신용 미수 몰빵 가즈아 ㅋㅋㅋ
DM-004347,neither,3279,,,,NONE,@Rutsphalt  쟤들은 생각이 없어서 저런 스탠스를 취할 수 밖에 없는 거임.
DM-002162,v1_only,400,불안·공포,,,NONE,개잡주가 난리났네 개잡주 주제에. ​ 폭락가자
DM-001271,both,180,분노·불신,분노·불신,분노·불신:선동,분노·불신,비엠 이번 출고된 전기차 중국산 밧데리 장착 반도체 망하는게아니고~ 개미들 돈으로 선동 뽐뿌질만~
DM-001226,v2_only,80,,충동·중독시그널,충동·중독시그널:전재산,NONE,"그렇게 돈을 따고 싶냐? 그럼 내가 알켜 줄께, 오늘 150에 10주 사라. 담에 75만원 오거든 30주 더사라. 그담엔 40만원 오면 100주 사고, 그담엔  20만원 오거든 200주 추매. 이담에 10만원 오거든  500주 사고, 그후에 5만원 오면 알지? 2000주 사라고, 2만원 오면 전재산 털어서 사봐. 그러면, 꼭 먹을거야. ​ 10주 샀는데, 다음달에 50푸로 먹었다고? 그럼. 5주만 더 사고 그만사. ​"
DM-002153,v2_only,80,,분노·불신,분노·불신:놈들,NONE,저것들 어제도  십민주넘게 대차한거 같던데 간이 튀어나온놈들이여
DM-000108,neither,3279,,,,NONE,하이녹스 회장은 이재용한데가서
DM-004232,v2_only,80,,FOMO·상대적박탈감|후회·손실고통,FOMO·상대적박탈감:배아파|후회·손실고통:물려서,NONE,미장에 물려서 뒤지던 애들이 코스피 보고 배아파서 떨어져라 떨어져라 기도하더니 진짜 작살남 ㅋㅋ
DM-003438,v2_only,80,,분노·불신,분노·불신:새끼,분노·불신,근데 이준석 빠는새끼들은 진짜 장애인같더라
DM-003286,v2_only,80,,분노·불신,분노·불신:미친거,분노·불신,"미친거 아니냐 진짜 걍 적폐노 말이 안되네 오늘부터 슨피만 산다 ㅈ같네 진짜로 모두가 S&P500, QQQ로 주식판에 뛰어들어 엔비디아 테슬라 구글 메타 아마존 M7의 맛을보고 중소형 테마주 맛을 보게 되고, 레버리지라는걸 알게되고 급상승 종목을 보다 개잡주를 하게 되고 해주갤로 흘러들어와 졸업장을 쓰고 다시 S&P500으로 돌아가는 이 슬픈 여정 난 이 이야기를 무척 좋아한다."
DM-003677,v2_only,80,,불안·공포,불안·공포:쫄,불안·공포,쫄려서 못하겠농...
DM-001639,v1_only,400,불안·공포,,,NONE,바~~아로 궤폭락 종가는 21층 걱정 ㄴㄴ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
DM-004039,neither,3279,,,,NONE,윤센이 ㄹㅇ 혜안이 ㅋㅋ
DM-000754,neither,3279,,,,NONE,반도체 소부장보다 돈을못버네..
DM-001497,v2_only,80,,분노·불신,분노·불신:놈들,NONE,"삼전닉스 옛날부터 곳간에서 인심난다 했다 ​ 잘 되는집  종놈들이 잘 먹는법 ㅋㅋㅋㅋㅋㅋ ​ 뉴스1 ​ ""최태원이 하닉 사라고 한 이유""…'배당 2.5%·액분' ​ 지라시가 돈다"
DM-001839,both,180,FOMO·상대적박탈감,분노·불신,분노·불신:짜고치,분노·불신,회사가 공매세려과 짜고치는 고도리가 아닌가 하는 의심이드는건 나만 그런거야?
DM-001771,neither,3279,,,,NONE,많이 오르네요 네이버 이젠...제대로 가나요 ㅋㅋ
DM-003209,v2_only,80,,분노·불신,분노·불신:새끼,분노·불신,일론<<이새끼 AI개발비용을 우주에 끼워팔고있음
DM-004109,v2_only,80,,FOMO·상대적박탈감,FOMO·상대적박탈감:다 벌,NONE,​ @dndhdu12 뒤늦게 들어온사람이 잘못인거임 트럼프 당선당시 테슬라400불일때 삼전닉스 샀으면 m7주식 산것보다 10배이상 돈 다 벌었음
DM-003610,neither,3279,,,,NONE,이대로만 끝나도 하닉 내일 상승하는 꼬라진데
DM-004669,neither,3279,,,,분노·불신,@user-sl309jd90  인터넷 관련 제조업 말하는 거지... 뭔 유추하는 세포 자체가 없어?
DM-001963,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,모간이 목표가 6.5마넌으로 책정했다. 이런 수치를 보고도 치욕을 못느끼는 놈들이 게코 똥주 경영진 새::  끼:: 들이다. 챙피한 놈들... 무슨 낮짝으로 IR은 계속 해대노...
DM-002094,both,180,후회·손실고통,후회·손실고통,후회·손실고통:물렸,분노·불신,이거 산 사람 거의 다 물렸을 텐데 흔든다고 나가겠냐? 이 등심 쩝쩝아. 주포 머리가 어떻게 된 거 아니냐? 날 더운데 꿀값을 떨고 있어 어차피 단타만 돈 빼주는 꼴이야. 항상 그러니까 탄타를 잘 쳐야 돼.ㅋ
DM-003311,both,180,FOMO·상대적박탈감|분노·불신,분노·불신,분노·불신:사기,NONE,기관들은 주식을 판다고 그걸 현금으로 가지고 있기보다는 다른 주식을 사기 때문에 반도체에서 빠진 돈이 다른 곳으로 가면서 순간적으로 쏠림 현상이 생기고 반도체주는 지금 점점 시장 관심에서 소외되는 중인 거 같음 그러면 장기적으로 결국 시장에서 돈은 빠지게 돼있고 펀더멘탈이나 매크로와 다른 방향으로 가고 있기 때문에 큰 낙폭이 만들어지기 쉬운 상황임
DM-001321,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:올인하자,NONE,세탁기나 만들자 세탁기.올인하자 ㅋㅋ 공모가 얼마인지요 ㅋㅋ
DM-004753,both,180,충동·중독시그널,분노·불신|충동·중독시그널,분노·불신:해먹|충동·중독시그널:몰빵,분노·불신,중공과 한패면서 해먹기 전문가들에게 나라의 자원을 몰빵.ㅋㅋㅋ
DM-004876,neither,3279,,,,NONE,브랜드가 다르다고😂
DM-001158,v1_only,400,불안·공포,,,NONE,이제야 개인들이정신차리나홀딩개나주고사팔대응~ 사팔 대응 안 되면  절대  삼전 하닉 매매 하면 안 됨 추세를 보면 간단 ​ ​ ​ ? 월가  넘들도  괴관 넘들도  사팔 사팔인데 ​ 새발의 피인 개인들이  홀딩해서 뭘 얻으려고 ​ 계좌  녹고 징징 짜려고 주식 하는게 아니라면 ​ 어제 처럼 10% 이상 무조건 많이  폭락  뒤에 매매 해서 사팔 사팔해야 ​ 그나마 안 물리고 익절도 가능 ​ 오늘은 단타도 안 됨   저것들  다 기계 매매임 ~ ​
DM-003613,v2_only,80,,분노·불신,분노·불신:새끼,NONE,모든게 '그새끼' 때문이면 개추 ㅋㅋㅋㅋ
DM-001105,both,180,후회·손실고통,후회·손실고통,후회·손실고통:손절 칠걸,후회·손실고통,내일 항상 이런 마음을 가진다 아..어제 손절 칠걸.. ​
DM-004746,both,180,불안·공포,불안·공포,불안·공포:무섭,불안·공포,@EatYourKimchisabah 아무리 그래도 이민자 받으면 캐나다 꼴날것 같기도 하고 좀 무섭다는 생각이 들어요 아무나 받으면 안된다고 생각해요..단일민족 국가인 한국엔 한국인만 있는게 치안이나 문화적으로도 깔끔하다고 개인적으로 생각하고 있어요. 캐나다 살아보니 참담하더라고요.
DM-003671,v1_only,400,후회·손실고통,,,NONE,저자리에서 사는건 얼마나 큰 용기가 잇어야 살 수 잇는거지에 지금 오늘 최고점 근천대 Rock rock til you drop.
DM-003945,neither,3279,,,,분노·불신,진짜 미친장이다. 코스닥만 오르고
